    igrf90s
  8  6371.2 2000.0
   1  0    17.6     0.0
   1  1    13.0   -18.3
   2  0   -13.2     0.0
   2  1     3.7   -15.0
   2  2     -.8    -8.8
   3  0     1.5     0.0
   3  1    -6.4     4.1  
   3  2     -.2     2.2
   3  3    -8.1   -12.1  
   4  0      .8     0.0
   4  1      .9     1.8
   4  2    -6.9     1.2
   4  3      .5     2.7  
   4  4    -4.6    -1.0 
   5  0      .8     0.0
   5  1      .1      .2  
   5  2    -1.5     1.2 
   5  3    -2.0      .3  
   5  4     -.1     1.8  
   5  5     2.3      .9  
   6  0      .5     0.0
   6  1     -.4      .3
   6  2      .6    -1.6
   6  3     1.9     -.2 
   6  4     -.2     -.9 
   6  5     -.2     1.0  
   6  6     0.0     2.2
   7  0     -.2     0.0
   7  1     -.8      .8 
   7  2     -.6      .2  
   7  3      .6      .6 
   7  4     1.2     -.4 
   7  5      .1     0.0  
   7  6      .2     -.3  
   7  7     -.6     0.0  
   8  0      .3     0.0
   8  1     -.2      .4
   8  2      .1     -.2  
   8  3      .4      .2
   8  4    -1.1      .7 
   8  5      .3      .0   
   8  6      .2    -1.2 
   8  7     -.9     -.7
   8  8     -.3     -.6
